"DateTime";"Geel Tapwater Warmtepomp uur tabel [Energieregistratie- Thermische energie Geel] [kWh]";"Geel KK-GL-1-02 Warmtapwater elektra uur tabel [Energieregistratie- Elektrische energie Geel] [kWh]"
"2023-04-17 00:00:00";0;4
"2023-04-17 01:00:00";0;2
"2023-04-17 02:00:00";0;6
"2023-04-17 03:00:00";0;5
"2023-04-17 04:00:00";0;4
"2023-04-17 05:00:00";21;11
"2023-04-17 06:00:00";1;3
"2023-04-17 07:00:00";0;6
"2023-04-17 08:00:00";18;9
"2023-04-17 09:00:00";17;11
"2023-04-17 10:00:00";3;2
"2023-04-17 11:00:00";6;4
"2023-04-17 12:00:00";18;10
"2023-04-17 13:00:00";3;3
"2023-04-17 14:00:00";13;4
"2023-04-17 15:00:00";19;8
"2023-04-17 16:00:00";19;10
"2023-04-17 17:00:00";3;3
"2023-04-17 18:00:00";4;2
"2023-04-17 19:00:00";0;7
"2023-04-17 20:00:00";0;4
"2023-04-17 21:00:00";0;4
"2023-04-17 22:00:00";0;3
"2023-04-17 23:00:00";0;5
