"DateTime";"Temp.buffer Boven [Warmtapwater bwdl Geel] [°C]"
"2023-03-20 00:00:00";62,9
"2023-03-20 00:08:00";62,8
"2023-03-20 00:16:00";62,8
"2023-03-20 00:24:00";62,9
"2023-03-20 00:32:00";63
"2023-03-20 00:40:00";62,6
"2023-03-20 00:48:00";61,3
"2023-03-20 00:56:00";60,3
"2023-03-20 01:04:00";59,5
"2023-03-20 01:12:00";59
"2023-03-20 01:20:00";59,6
"2023-03-20 01:28:00";60,2
"2023-03-20 01:36:00";60,7
"2023-03-20 01:44:00";61
"2023-03-20 01:52:00";61,3
"2023-03-20 02:00:00";62
"2023-03-20 02:08:00";62,4
"2023-03-20 02:16:00";62,9
"2023-03-20 02:24:00";63,2
"2023-03-20 02:32:00";62,4
"2023-03-20 02:40:00";61
"2023-03-20 02:48:00";60,2
"2023-03-20 02:56:00";59,5
"2023-03-20 03:04:00";59
"2023-03-20 03:12:00";59,7
"2023-03-20 03:20:00";60,3
"2023-03-20 03:28:00";60,8
"2023-03-20 03:36:00";61,2
"2023-03-20 03:44:00";61,5
"2023-03-20 03:52:00";61,8
"2023-03-20 04:00:00";62,4
"2023-03-20 04:08:00";61,7
"2023-03-20 04:16:00";60
"2023-03-20 04:24:00";58,4
"2023-03-20 04:32:00";57,2
"2023-03-20 04:40:00";56,8
"2023-03-20 04:48:00";58,8
"2023-03-20 04:56:00";62,5
"2023-03-20 05:04:00";66,6
"2023-03-20 05:12:00";63,3
"2023-03-20 05:20:00";60,3
"2023-03-20 05:28:00";59,9
"2023-03-20 05:36:00";59
"2023-03-20 05:44:00";59,2
"2023-03-20 05:52:00";60
"2023-03-20 06:00:00";60,7
"2023-03-20 06:08:00";61,2
"2023-03-20 06:16:00";61,6
"2023-03-20 06:24:00";62
"2023-03-20 06:32:00";62,4
"2023-03-20 06:40:00";62,4
"2023-03-20 06:48:00";62,3
"2023-03-20 06:56:00";62,5
"2023-03-20 07:04:00";62,1
"2023-03-20 07:12:00";60,8
"2023-03-20 07:20:00";61,4
"2023-03-20 07:28:00";61,5
"2023-03-20 07:36:00";63
