"DateTime";"Temp.buffer Boven [Warmtapwater bwdl Geel] [°C]"
"2022-12-12 00:00:00";62,2
"2022-12-12 00:08:00";62,5
"2022-12-12 00:16:00";62,4
"2022-12-12 00:24:00";62,4
"2022-12-12 00:32:00";62,5
"2022-12-12 00:40:00";62,5
"2022-12-12 00:48:00";62,3
"2022-12-12 00:56:00";62,4
"2022-12-12 01:04:00";62,5
"2022-12-12 01:12:00";62,4
"2022-12-12 01:20:00";62,9
"2022-12-12 01:28:00";62,8
"2022-12-12 01:36:00";62,8
"2022-12-12 01:44:00";62,6
"2022-12-12 01:52:00";62,7
"2022-12-12 02:00:00";62,9
"2022-12-12 02:08:00";62,8
"2022-12-12 02:16:00";63,2
"2022-12-12 02:24:00";62
"2022-12-12 02:32:00";60,8
"2022-12-12 02:40:00";60,1
"2022-12-12 02:48:00";59,3
"2022-12-12 02:56:00";58,9
"2022-12-12 03:04:00";59,8
"2022-12-12 03:12:00";60,3
"2022-12-12 03:20:00";60,7
"2022-12-12 03:28:00";61,2
"2022-12-12 03:36:00";61,6
"2022-12-12 03:44:00";61,9
"2022-12-12 03:52:00";62,3
"2022-12-12 04:00:00";62,6
"2022-12-12 04:08:00";61,8
"2022-12-12 04:16:00";60,1
"2022-12-12 04:24:00";58,3
"2022-12-12 04:32:00";57
"2022-12-12 04:40:00";56,9
"2022-12-12 04:48:00";59,8
"2022-12-12 04:56:00";64,5
"2022-12-12 05:04:00";67,3
"2022-12-12 05:12:00";61,8
"2022-12-12 05:20:00";60,6
"2022-12-12 05:28:00";60,1
"2022-12-12 05:36:00";58,9
"2022-12-12 05:44:00";59,3
"2022-12-12 05:52:00";60,3
"2022-12-12 06:00:00";60,8
"2022-12-12 06:08:00";61,1
"2022-12-12 06:16:00";61,6
"2022-12-12 06:24:00";61,9
"2022-12-12 06:32:00";62,3
"2022-12-12 06:40:00";62,7
"2022-12-12 06:48:00";63
"2022-12-12 06:56:00";62,8
"2022-12-12 07:04:00";62,6
"2022-12-12 07:12:00";61,2
"2022-12-12 07:20:00";60,4
"2022-12-12 07:28:00";62,2
"2022-12-12 07:36:00";62,9
"2022-12-12 07:44:00";67,2
"2022-12-12 07:52:00";69,4
"2022-12-12 08:00:00";71,2
"2022-12-12 08:08:00";71,7
"2022-12-12 08:16:00";72,8
"2022-12-12 08:24:00";73,7
"2022-12-12 08:32:00";74,2
"2022-12-12 08:40:00";74,1
"2022-12-12 08:48:00";73,9
"2022-12-12 08:56:00";70,1
"2022-12-12 09:04:00";69
"2022-12-12 09:12:00";68,4
"2022-12-12 09:20:00";67,6
"2022-12-12 09:28:00";66,6
"2022-12-12 09:36:00";65,7
"2022-12-12 09:44:00";65
"2022-12-12 09:52:00";64,4
"2022-12-12 10:00:00";63,8
"2022-12-12 10:08:00";63,1
"2022-12-12 10:16:00";62,2
"2022-12-12 10:24:00";62,9
"2022-12-12 10:32:00";61,4
"2022-12-12 10:40:00";60,7
"2022-12-12 10:48:00";60,2
"2022-12-12 10:56:00";59,3
"2022-12-12 11:04:00";58,5
"2022-12-12 11:12:00";57,6
"2022-12-12 11:20:00";57,3
"2022-12-12 11:28:00";56,9
"2022-12-12 11:36:00";56,1
"2022-12-12 11:44:00";56,2
"2022-12-12 11:52:00";56,6
"2022-12-12 12:00:00";65,9
"2022-12-12 12:08:00";69,4
"2022-12-12 12:16:00";68,6
"2022-12-12 12:24:00";70,2
"2022-12-12 12:32:00";69,6
"2022-12-12 12:40:00";68,6
"2022-12-12 12:48:00";68,2
"2022-12-12 12:56:00";67,6
"2022-12-12 13:04:00";66,7
"2022-12-12 13:12:00";67,7
"2022-12-12 13:20:00";65,7
"2022-12-12 13:28:00";64,6
"2022-12-12 13:36:00";64,3
"2022-12-12 13:44:00";63,6
"2022-12-12 13:52:00";63
"2022-12-12 14:00:00";62,6
"2022-12-12 14:08:00";61,7
"2022-12-12 14:16:00";59,6
"2022-12-12 14:24:00";57
"2022-12-12 14:32:00";56,3
"2022-12-12 14:40:00";61,3
"2022-12-12 14:48:00";66
"2022-12-12 14:56:00";64,3
"2022-12-12 15:04:00";66,2
"2022-12-12 15:12:00";69,5
"2022-12-12 15:20:00";70,4
"2022-12-12 15:28:00";71,1
"2022-12-12 15:36:00";71,5
"2022-12-12 15:44:00";71,1
"2022-12-12 15:52:00";72,6
"2022-12-12 16:00:00";74,2
"2022-12-12 16:08:00";74,4
"2022-12-12 16:16:00";69,5
"2022-12-12 16:24:00";68,7
"2022-12-12 16:32:00";68
"2022-12-12 16:40:00";67
"2022-12-12 16:48:00";66
"2022-12-12 16:56:00";65
"2022-12-12 17:04:00";64,2
"2022-12-12 17:12:00";63,5
"2022-12-12 17:20:00";62,7
"2022-12-12 17:28:00";62,1
"2022-12-12 17:36:00";61,3
"2022-12-12 17:44:00";60,6
"2022-12-12 17:52:00";60,2
"2022-12-12 18:00:00";59,6
"2022-12-12 18:08:00";59,3
"2022-12-12 18:16:00";59
"2022-12-12 18:24:00";59,8
"2022-12-12 18:32:00";60,4
"2022-12-12 18:40:00";60,9
